Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,3327.0,3327.0,3271.0,3298.800048828125,3139.75390625,1306913
2022-08-02,3290.0,3312.89990234375,3271.64990234375,3291.800048828125,3133.091064453125,1269114
2022-08-03,3280.0,3349.0,3277.050048828125,3339.5,3178.491455078125,2895824
2022-08-04,3350.0,3387.89990234375,3307.35009765625,3354.949951171875,3193.1962890625,2150567
2022-08-05,3361.199951171875,3377.0,3355.0,3365.050048828125,3202.809814453125,1106933
2022-08-08,3365.0,3378.89990234375,3336.0,3374.449951171875,3211.756103515625,1068836
2022-08-10,3385.0,3385.0,3335.0,3354.25,3192.530029296875,1878359
2022-08-11,3400.0,3428.699951171875,3375.050048828125,3422.5,3257.489501953125,1449248
2022-08-12,3419.0,3419.0,3381.25,3401.550048828125,3237.549560546875,1472354
2022-08-16,3411.0,3414.85009765625,3387.5,3392.699951171875,3229.1259765625,839942
2022-08-17,3385.10009765625,3417.949951171875,3371.10009765625,3401.10009765625,3237.12158203125,1622326
2022-08-18,3390.0,3392.0,3362.0,3381.25,3218.228515625,1430659
2022-08-19,3387.0,3421.5,3371.25,3385.75,3222.51123046875,1398410
2022-08-22,3365.0,3384.10009765625,3347.39990234375,3354.550048828125,3192.815673828125,1536532
2022-08-23,3319.949951171875,3341.89990234375,3270.0,3284.60009765625,3126.238037109375,1849256
2022-08-24,3292.0,3308.0,3250.199951171875,3255.35009765625,3098.398681640625,1691923
2022-08-25,3276.0,3278.14990234375,3214.75,3218.199951171875,3063.03955078125,1946930
2022-08-26,3234.300048828125,3257.0,3216.800048828125,3222.199951171875,3066.846923828125,1457962
2022-08-29,3125.0,3142.699951171875,3081.0,3132.550048828125,2981.519287109375,2539173
2022-08-30,3155.0,3226.5,3142.10009765625,3211.14990234375,3056.329345703125,3431525
2022-09-01,3190.0,3190.0,3121.0,3131.699951171875,2980.710205078125,3546935
2022-09-02,3163.0,3163.0,3120.300048828125,3130.39990234375,2979.47265625,2052900
2022-09-05,3123.64990234375,3147.949951171875,3112.25,3133.39990234375,2982.327880859375,2147912
2022-09-06,3135.5,3140.85009765625,3106.35009765625,3127.050048828125,2976.2841796875,1936453
2022-09-07,3102.0,3161.89990234375,3102.0,3149.60009765625,2997.7470703125,1291534
2022-09-08,3170.0,3183.5,3160.10009765625,3169.64990234375,3016.830078125,1346113
2022-09-09,3195.0,3233.5,3168.5,3217.64990234375,3062.515869140625,1561185
2022-09-12,3239.89990234375,3269.800048828125,3225.0,3242.949951171875,3086.59619140625,1785928
2022-09-13,3263.449951171875,3263.449951171875,3225.0,3229.35009765625,3073.65185546875,1972678
2022-09-14,3135.0,3141.39990234375,3113.800048828125,3120.39990234375,2969.954833984375,5090269
2022-09-15,3130.0,3137.75,3100.0,3104.35009765625,2954.67919921875,2138023
2022-09-16,3076.0,3094.35009765625,3000.0,3008.699951171875,2863.64013671875,5322221
2022-09-19,3036.0,3042.0,2987.800048828125,3028.800048828125,2882.77099609375,2072220
2022-09-20,3050.0,3079.949951171875,3030.0,3040.300048828125,2893.716552734375,1544295
2022-09-21,3028.0,3041.39990234375,2998.14990234375,3001.199951171875,2856.501708984375,2253818
2022-09-22,2990.0,3029.949951171875,2979.300048828125,3007.39990234375,2862.403076171875,2017983
2022-09-23,3004.0,3022.5,2979.0,2982.050048828125,2838.275634765625,2652374
2022-09-26,2959.85009765625,3025.85009765625,2926.10009765625,2994.39990234375,2850.02978515625,2925489
2022-09-27,3009.39990234375,3025.0,2976.0,3017.449951171875,2871.96826171875,2227447
2022-09-28,2980.0,3049.949951171875,2980.0,3035.64990234375,2889.291015625,2739767
